iso_alpha_3,year,ef_frst_sequestration_young_secondary_kt_co2_ha
BFA,2018,0.003538136644153318
BFA,2019,0.003538136644153317
BGD,2015,0.0032284703768490053
BGD,2016,0.0032292757115389625
BGD,2017,0.003228324897521843
BGD,2018,0.0032280796908349166
BGD,2019,0.0032280796908349166
BGR,2015,0.004225
BGR,2016,0.004225
BGR,2017,0.004225
BGR,2018,0.004225
BGR,2019,0.004225
BHR,2015,0.0019114914615207387
BHR,2016,0.0019114914615207387
BHR,2017,0.0019114914615207387
BHR,2018,0.0019114914615207387
BHR,2019,0.0019114914615207387
BHS,2015,0.005291778313426626
BHS,2016,0.005289567825494851
BHS,2017,0.005289975196444238
BHS,2018,0.0052928268387418854
BHS,2019,0.005290465535722007
BIH,2015,0.004225
BIH,2016,0.004225
BIH,2017,0.004225
BIH,2018,0.004225
BIH,2019,0.004225
BLR,2015,
BLR,2016,
BLR,2017,
BLR,2018,
BLR,2019,
BLZ,2015,0.005514577011381439
BLZ,2016,0.005514675330823729
BLZ,2017,0.005513968385243605
BLZ,2018,0.005513581153798132
BLZ,2019,0.005513121271180923
BMU,2015,0.0025
BMU,2016,0.0025
BMU,2017,0.0025
BMU,2018,0.0025
BMU,2019,0.0025
BOL,2015,0.005489924529483953
BOL,2016,0.005488261674435278
BOL,2017,0.005487721315114033
BOL,2018,0.005486932504288417
BOL,2019,0.005485913380946715
BRA,2015,0.005555442106936338
BRA,2016,0.005554887342632331
BRA,2017,0.0055547851682867105
BRA,2018,0.0055546946750892
BRA,2019,0.005552598160963778
BRB,2015,0.0038999999999999994
BRB,2016,0.0038999999999999994
BRB,2017,0.0038999999999999994
BRB,2018,0.0038999999999999994
BRB,2019,0.0038999999999999994
BRN,2015,0.0034
BRN,2016,0.0034000000000000007
BRN,2017,0.0034
BRN,2018,0.0033999999999999994
BRN,2019,0.0033999999999999994
BTN,2015,0.002856099780649255
BTN,2016,0.002856099780649255
BTN,2017,0.002856099780649255
BTN,2018,0.002856099780649255
BTN,2019,0.002856099780649255
BWA,2015,0.0037080436562461926
BWA,2016,0.003694649403824496
BWA,2017,0.003680213511822986
BWA,2018,0.003669722685944213
BWA,2019,0.0036691694492856745
CAF,2015,0.00640506438677677
CAF,2016,0.006404199120934435
CAF,2017,0.006404199673134046
CAF,2018,0.006404358245809054
CAF,2019,0.006403333851893632
CAN,2015,0.003498005133058273
CAN,2016,0.003499257069258134
CAN,2017,0.003487797912213579
CAN,2018,0.0034773062172439376
CAN,2019,0.0034746800750083064
CHE,2015,0.007327383935829499
CHE,2016,0.007327383935829499
CHE,2017,0.007327383935829499
CHE,2018,0.007327383935829499
CHE,2019,0.007327383935829499
CHL,2015,0.010820357012431699
CHL,2016,0.010814606214076273
CHL,2017,0.011214387383110072
CHL,2018,0.011240650161509635
CHL,2019,0.011397888393322559
CHN,2015,0.0024060728865660554
CHN,2016,0.0024057917262217663
CHN,2017,0.0024061377164626145
CHN,2018,0.0024061932889022876
CHN,2019,0.002405858791779057
CIV,2015,0.007416428349799386
CIV,2016,0.007416238303112165
CIV,2017,0.007416184152771824
CIV,2018,0.00741620359546616
CIV,2019,0.007416197938600869
CMR,2015,0.007182105124228017
CMR,2016,0.007183143063510909
CMR,2017,0.007182499204548607
CMR,2018,0.007183511634809405
CMR,2019,0.007183397220799325
COD,2015,0.007384192930501271
COD,2016,0.007386913107271417
COD,2017,0.0073881959418823535
COD,2018,0.00738957065753632
COD,2019,0.007390366478415984
COG,2015,0.007351067233068748
COG,2016,0.007350264217829098
COG,2017,0.007350116714686578
COG,2018,0.007349232447624976
COG,2019,0.00734921083865859
COL,2015,0.005350253986563095
COL,2016,0.005349719145454334
COL,2017,0.0053483257328844555
COL,2018,0.005347517485105507
COL,2019,0.005346991926762272
COM,2015,0.0029000000000000002
COM,2016,0.0029000000000000002
COM,2017,0.0029
COM,2018,0.0029
COM,2019,0.0029000000000000002
CPV,2015,0.0039
CPV,2016,0.0039
CPV,2017,0.0039
CPV,2018,0.0039
CPV,2019,0.0039
CRI,2015,0.005706666731285528
CRI,2016,0.005710804896546926
CRI,2017,0.0057131224383397934
CRI,2018,0.005714926728117012
CRI,2019,0.005717473798419092
CUB,2015,0.005316260294251384
CUB,2016,0.005316093421180768
CUB,2017,0.0053159425843811335
CUB,2018,0.005316063238801032
CUB,2019,0.005315851719917531
CUW,2015,0.004
CUW,2016,0.004
CUW,2017,0.004
CUW,2018,0.004
CUW,2019,0.004
CYM,2015,0.0052
CYM,2016,0.0052
CYM,2017,0.005200000000000001
CYM,2018,0.005200000000000001
CYM,2019,0.005200000000000001
CYP,2015,0.006500000000000001
CYP,2016,0.006499999999999999
CYP,2017,0.006499999999999999
CYP,2018,0.006499999999999999
CYP,2019,0.006499999999999999
CZE,2015,0.007327383935829497
CZE,2016,0.007327383935829497
CZE,2017,0.007327383935829497
